Source,Station,Region,Longitude,Latitue
FMWT,919,SouthCentral,-121.49525,38.10572
STN,411,Suisun Bay,-122.08331,38.05131
STN,418,Suisun Bay,-122.09781,38.06481
STN,501,Suisun Bay,-122.02246,38.07338
STN,504,Suisun Bay,-122.01372,38.06106
STN,508,Confluence,-121.923,38.04556
STN,513,Confluence,-121.864,38.05946
STN,519,Suisun Bay,-121.95969,38.07231
STN,520,Confluence,-121.86931,38.03281
STN,602,Suisun Bay,-122.04619,38.114
STN,606,Suisun Marsh,-122.02201,38.16776
STN,609,Suisun Marsh,-121.938,38.16719
STN,610,Suisun Marsh,-121.88919,38.11881
STN,704,Confluence,-121.77501,38.06776
STN,706,Confluence,-121.739,38.09006
STN,707,Confluence,-121.70601,38.11226
STN,711,Confluence,-121.669,38.17336
STN,713,North,-121.66008,38.20712
STN,716,North,-121.68438,38.23787
STN,719,North,-121.64733,38.33428
STN,721,North,-121.70277,38.26815
STN,722,North,-121.688583,38.255028
STN,723,North,-121.67348,38.23615
STN,795,North,-121.58468,38.5377
STN,796,North,-121.5844,38.47387
STN,797,North,-121.6156,38.40462
STN,801,Confluence,-121.847,38.05561
STN,804,Confluence,-121.794,38.02056
STN,809,SouthCentral,-121.686,38.05396
STN,812,SouthCentral,-121.64051,38.08866
STN,815,SouthCentral,-121.56981,38.08
STN,902,SouthCentral,-121.58301,38.02616
STN,906,SouthCentral,-121.51101,38.05396
STN,910,SouthCentral,-121.444,37.99836
STN,912,SouthCentral,-121.364,37.96226
STN,914,SouthCentral,-121.52,37.9715
STN,915,SouthCentral,-121.559,37.94056
STN,918,SouthCentral,-121.56881,37.85931
STN,919,SouthCentral,-121.492,38.10481
STN,FRP Grizz,Suisun Bay,-121.98897,38.113421
STN,Honk,Suisun Bay,-121.92111,38.0728
STN,Mont,Suisun Marsh,-121.90889,38.14387
